Payment Type,Transaction Time,Settlement Time,Order,Customer Email,Credit Card Number Mask,Refund Amount,Amount,3D Secure,Card Association,Acquiring Bank,Bank On Us/ Off Us,Transaction Fee,Merchant Has,Refund,Payment Options,Coins Share,Transaction ID,TREF ID
cstore,"Jun 08 2023, 09:03","Jun 08 2023, 09:40",5212d190-edc2-4be9-996d-164146f2f388,,,0.0,505000.0,No Auth,,alfamart,,5000.0,500000.0,false,,,4765f114-7a7d-4138-b9a5-8c6d2319cf75,
cstore,"Jun 08 2023, 08:58","Jun 08 2023, 09:42",4b13ed74-d29c-4e53-a04f-a81cfe5a3356,,,0.0,1030000.0,No Auth,,alfamart,,5000.0,1025000.0,false,,,e7f6b115-b85a-45f8-aab8-b1fe8031e1b8,
cstore,"Jun 08 2023, 09:07","Jun 08 2023, 09:44",a2c12177-b8cc-49bf-b3cf-8469777d174a,,,0.0,833784.0,No Auth,,alfamart,,5000.0,828784.0,false,,,4bd5d03f-8cdf-41f5-8d29-e878b8ca2a05,
cstore,"Jun 08 2023, 09:16","Jun 08 2023, 09:59",daf2a6eb-e57a-4a5a-8d6c-e32e3e8c1596,,,0.0,704518.0,No Auth,,alfamart,,5000.0,699518.0,false,,,6e64b1ec-078d-480a-9328-bfb3c47dfc78,
cstore,"Jun 08 2023, 11:01","Jun 08 2023, 11:03",a28e0c24-1ac0-4bfb-84e5-49bd91585daa,,,0.0,471552.0,No Auth,,alfamart,,5000.0,466552.0,false,,,bbdb8227-38f4-4918-b156-f0f8d736b35d,
cstore,"Jun 08 2023, 12:11","Jun 08 2023, 12:15",951106e5-9ea8-4569-964c-8dd83ed22a79,,,0.0,784017.0,No Auth,,alfamart,,5000.0,779017.0,false,,,14f3afee-2db2-4f90-9737-fcb8635919e0,
cstore,"Jun 08 2023, 12:24","Jun 08 2023, 12:30",8b2ffd15-efe6-4d3b-bd4c-8b6dec18156a,,,0.0,779308.0,No Auth,,alfamart,,5000.0,774308.0,false,,,883e71fd-9b93-415b-b495-ececbd8fa600,
cstore,"Jun 08 2023, 12:45","Jun 08 2023, 13:03",7f133382-e807-4243-921e-e5fef99a52ad,,,0.0,924640.0,No Auth,,alfamart,,5000.0,919640.0,false,,,fa491ed9-4da0-40eb-8c2e-0deeae6b6e60,
cstore,"Jun 08 2023, 13:25","Jun 08 2023, 13:32",bf1eda15-8bee-4b5f-8766-a2cc0b0c2652,,,0.0,788333.0,No Auth,,alfamart,,5000.0,783333.0,false,,,9528e363-4bb8-4adb-864b-a9fef28085b8,
cstore,"Jun 08 2023, 14:20","Jun 08 2023, 14:24",63145d8b-8e28-46e5-a8f5-4c9666cc6457,,,0.0,928334.0,No Auth,,alfamart,,5000.0,923334.0,false,,,4cff2299-ddde-432c-8836-eecc04a1d000,
cstore,"Jun 08 2023, 14:24","Jun 08 2023, 14:25",062212ab-a3eb-495f-8a28-5bf43b84c01d,,,0.0,956034.0,No Auth,,alfamart,,5000.0,951034.0,false,,,06bbe019-af25-41d3-a728-c0690d6ec65b,
cstore,"Jun 08 2023, 13:49","Jun 08 2023, 14:27",b121cf37-5ede-4e94-b703-ba6d67ab7cf1,,,0.0,904000.0,No Auth,,alfamart,,5000.0,899000.0,false,,,c55135d9-d3d9-4c8f-9b1b-150c944b5d25,
cstore,"Jun 08 2023, 14:53","Jun 08 2023, 14:56",b5e40372-70ee-4f5d-85aa-25c7bb7ad153,,,0.0,1149934.0,No Auth,,alfamart,,5000.0,1144934.0,false,,,115b0446-70f7-4e94-a21e-21e657393678,
cstore,"Jun 08 2023, 15:21","Jun 08 2023, 15:24",da2c364c-148d-4018-a319-de0cf0a2adaf,,,0.0,1620000.0,No Auth,,alfamart,,5000.0,1615000.0,false,,,523bc25d-8d95-4433-a924-38dca37092f7,
